lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
,,1499,1355.367431640625,12382.1640625,11026.796875,0.17116209864616394,0.0,-0.0035080232191830873,0.0,0.0,-0.49018236994743347,-0.4826597273349762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1549,1373.515625,12174.66796875,10801.15234375,0.16782765090465546,0.0,-0.0036245721857994795,0.0,0.0,-0.49869027733802795,-0.49593961238861084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1599,1371.2032470703125,12013.193359375,10641.990234375,0.16550445556640625,0.0,-0.0037408489733934402,0.0,0.0,-0.5062093138694763,-0.4984648525714874,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1649,1378.40869140625,12371.8828125,10993.474609375,0.17094367742538452,0.0,-0.0038572216872125864,0.0,0.0,-0.5080866813659668,-0.5010240077972412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1699,1412.274169921875,12284.03125,10871.7568359375,0.16918976604938507,0.0,-0.003973543178290129,0.0,0.0,-0.505583643913269,-0.5002260208129883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1749,1380.668212890625,12258.703125,10878.03515625,0.1693812757730484,0.0,-0.004089791793376207,0.0,0.0,-0.512054979801178,-0.518653154373169,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1799,1397.23046875,12366.4150390625,10969.1845703125,0.17086230218410492,0.0,-0.0042059896513819695,0.0,0.0,-0.5140618085861206,-0.5147484540939331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1849,1353.1156005859375,11758.740234375,10405.625,0.1623958796262741,0.0,-0.004322045017033815,0.0,0.0,-0.4892195761203766,-0.48187559843063354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1899,1386.53076171875,11626.47265625,10239.9423828125,0.15997570753097534,0.0,-0.004438159521669149,0.0,0.0,-0.4894949197769165,-0.47793808579444885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1949,1395.34033203125,12091.80859375,10696.46875,0.1670069396495819,0.0,-0.0045540896244347095,0.0,0.0,-0.49976590275764465,-0.4906623661518097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,1419.1529541015625,11738.5341796875,10319.380859375,0.16137586534023285,0.0,-0.004669995047152042,0.0,0.0,-0.5046852231025696,-0.4963761568069458,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2049,1434.32421875,11913.833984375,10479.509765625,0.1639043092727661,0.0,-0.004786029923707247,0.0,0.0,-0.5019952654838562,-0.4905993640422821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2099,1419.076171875,12036.404296875,10617.328125,0.1660933494567871,0.0,-0.004901966080069542,0.0,0.0,-0.5082576870918274,-0.5013272166252136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2149,1455.0634765625,11593.6025390625,10138.5390625,0.15891999006271362,0.0,-0.005017540883272886,0.0,0.0,-0.5141367316246033,-0.5097504258155823,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2199,1424.55029296875,11304.875,9880.32421875,0.1550968736410141,0.0,-0.005133321508765221,0.0,0.0,-0.5145451426506042,-0.5110536217689514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2249,1448.878173828125,11111.630859375,9662.7529296875,0.15189160406589508,0.0,-0.005249090027064085,0.0,0.0,-0.5060113072395325,-0.4985602796077728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2299,1444.8223876953125,11653.4384765625,10208.6162109375,0.1602737307548523,0.0,-0.005364733282476664,0.0,0.0,-0.5037727952003479,-0.4979434609413147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2349,1440.5352783203125,11680.0712890625,10239.5361328125,0.16083942353725433,0.0,-0.005480372346937656,0.0,0.0,-0.5265083312988281,-0.5258702635765076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2399,1407.9100341796875,11153.6083984375,9745.6982421875,0.15344250202178955,0.0,-0.005595990922302008,0.0,0.0,-0.5111573338508606,-0.5075560212135315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2449,1413.107177734375,11304.279296875,9891.171875,0.15574684739112854,0.0,-0.005711677949875593,0.0,0.0,-0.5058407783508301,-0.5017215013504028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2499,1456.6290283203125,11427.009765625,9970.380859375,0.15704534947872162,0.0,-0.00582722295075655,0.0,0.0,-0.5139024257659912,-0.508365273475647,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2549,1438.5450439453125,11773.0205078125,10334.4755859375,0.16266468167304993,0.0,-0.005942629184573889,0.0,0.0,-0.5008705258369446,-0.4892512559890747,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2599,1440.174560546875,11424.1806640625,9984.005859375,0.15744492411613464,0.0,-0.006057722959667444,0.0,0.0,-0.5074141621589661,-0.5020720362663269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2649,1427.65625,11502.611328125,10074.955078125,0.1589205414056778,0.0,-0.006172983907163143,0.0,0.0,-0.5092776417732239,-0.49950358271598816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2699,1439.519775390625,11369.916015625,9930.396484375,0.1568247377872467,0.0,-0.006288162432610989,0.0,0.0,-0.5061188340187073,-0.4999368190765381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2749,1415.16943359375,10949.13671875,9533.966796875,0.15091067552566528,0.0,-0.0064033279195427895,0.0,0.0,-0.49974265694618225,-0.4940943121910095,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2799,1449.27490234375,11070.90625,9621.630859375,0.15233664214611053,0.0,-0.006518447771668434,0.0,0.0,-0.5073513388633728,-0.5044453144073486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2849,1534.8271484375,11303.431640625,9768.6044921875,0.15466122329235077,0.0,-0.0066334945149719715,0.0,0.0,-0.5124620795249939,-0.5120032429695129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2899,1490.0645751953125,11074.59765625,9584.533203125,0.15196776390075684,0.0,-0.006748418789356947,0.0,0.0,-0.5129350423812866,-0.5102184414863586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2949,1469.74462890625,11097.359375,9627.615234375,0.1527174711227417,0.0,-0.006863482296466827,0.0,0.0,-0.5113052129745483,-0.5132434368133545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
