lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,999,352.0512390136719,23776.2109375,23424.16015625,0.3589906692504883,0.0,-0.00244521489366889,0.0,0.0,-0.10498046875,-0.09912109375,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1049,345.9969787597656,22849.1015625,22503.10546875,0.3450496196746826,0.0,-0.002565992996096611,0.0,0.0,-0.10693359375,-0.10791015625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1099,358.36749267578125,21751.88671875,21393.51953125,0.3282427191734314,0.0,-0.002686586929485202,0.0,0.0,-0.1044921875,-0.1142578125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1149,349.4193115234375,22412.216796875,22062.796875,0.3385070562362671,0.0,-0.002806970151141286,0.0,0.0,-0.1044921875,-0.1044921875,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1199,344.0313720703125,22738.32421875,22394.29296875,0.34362953901290894,0.0,-0.002926928224042058,0.0,0.0,-0.10205078125,-0.09423828125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1223,,,,,,,,,,,2,359.713134765625,23306.232421875,22946.521484375,0.3517540991306305,0.0,-0.002495552645996213,0.0,0.0,-0.10610543191432953,-0.10172047466039658,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1249,398.33648681640625,23064.146484375,22665.810546875,0.3478385806083679,0.0,-0.003047340549528599,0.0,0.0,-0.095703125,-0.09619140625,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1299,359.27130126953125,23434.708984375,23075.4375,0.3541467487812042,0.0,-0.003166818991303444,0.0,0.0,-0.10302734375,-0.111328125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1349,373.8316650390625,23324.6796875,22950.84765625,0.35232847929000854,0.0,-0.0032860557548701763,0.0,0.0,-0.10400390625,-0.1025390625,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
