lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,1349,1717.8438720703125,9223.3408203125,7505.49658203125,0.11733376979827881,0.0,-0.003183049615472555,0.0,0.0,-0.5127401351928711,-0.5039267539978027,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1399,1772.97119140625,9266.65234375,7493.68115234375,0.11725658178329468,0.0,-0.003299619071185589,0.0,0.0,-0.5254057049751282,-0.5220562815666199,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1449,1815.7337646484375,9237.681640625,7421.9482421875,0.11626832187175751,0.0,-0.0034162593074142933,0.0,0.0,-0.5093068480491638,-0.5027922987937927,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1499,1761.484130859375,9086.353515625,7324.869140625,0.11489464342594147,0.0,-0.003532608039677143,0.0,0.0,-0.5226449370384216,-0.52241450548172,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1549,1792.4176025390625,9033.8203125,7241.40234375,0.11372838169336319,0.0,-0.003649113466963172,0.0,0.0,-0.5139268636703491,-0.507858395576477,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1599,1781.7528076171875,8688.9833984375,6907.23095703125,0.1087513118982315,0.0,-0.0037656102795153856,0.0,0.0,-0.5095820426940918,-0.5061153173446655,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1631,,,,,,,,,,,3,1747.0286865234375,9191.240234375,7444.2109375,0.11656439304351807,0.0,-0.0033671113196760416,0.0,0.0,-0.5092523097991943,-0.5062701106071472,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1649,1781.192626953125,8852.5498046875,7071.357421875,0.11134925484657288,0.0,-0.0038820025511085987,0.0,0.0,-0.5051109194755554,-0.5009487271308899,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1699,1763.160400390625,8839.5380859375,7076.37744140625,0.1115284413099289,0.0,-0.00399830611422658,0.0,0.0,-0.5044741034507751,-0.5019664168357849,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1749,1789.7030029296875,8778.369140625,6988.666015625,0.11029838025569916,0.0,-0.004114550072699785,0.0,0.0,-0.5015434622764587,-0.5001910924911499,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1799,1806.35498046875,8811.416015625,7005.060546875,0.11065030097961426,0.0,-0.004230674356222153,0.0,0.0,-0.4967929422855377,-0.4903189539909363,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1849,1784.59033203125,8760.7265625,6976.1357421875,0.11031357198953629,0.0,-0.004346728790551424,0.0,0.0,-0.4917069971561432,-0.4869726598262787,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1899,1795.49462890625,8444.8828125,6649.3876953125,0.10545265674591064,0.0,-0.004462702665477991,0.0,0.0,-0.5039357542991638,-0.5004503726959229,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1949,1773.14697265625,8468.96484375,6695.818359375,0.10626112669706345,0.0,-0.004578692372888327,0.0,0.0,-0.5189775228500366,-0.5125159621238708,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,1854.722412109375,8701.9638671875,6847.24169921875,0.10866396129131317,0.0,-0.004694685339927673,0.0,0.0,-0.5050258636474609,-0.5050294995307922,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2039,,,,,,,,,,,4,,,,,,,,,,,0.10545437037944794,1807.5865478515625,8438.2197265625,6630.20751953125,0.4236436188220978,-0.0047920155338943005,1.0,1.1881825923919678,-0.4494885802268982,-0.4236436188220978,32.7853889465332,0.8610112071037292,0.10540700703859329,1807.5865478515625,8435.0986328125,6627.0869140625,0.4238985478878021,-0.0047920155338943005,1.0,1.188346028327942,-0.4494885802268982,-0.4238985478878021,32.801490783691406,0.8610247373580933
,,2039,,,,,,,,,,,4,1804.230712890625,8689.7724609375,6885.54150390625,0.10891081392765045,0.0,-0.004316399805247784,0.0,0.0,-0.5077805519104004,-0.5050186514854431,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2049,1871.36181640625,8318.4140625,6447.052734375,0.10268958657979965,0.0,-0.004810546524822712,0.0,0.0,-0.48185208439826965,-0.4761401414871216,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2099,1785.298095703125,8342.09375,6556.7958984375,0.10445931553840637,0.0,-0.004926438443362713,0.0,0.0,-0.5042865872383118,-0.4988238215446472,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2149,1795.0926513671875,8337.03125,6541.93896484375,0.10433658957481384,0.0,-0.005041913595050573,0.0,0.0,-0.4995851516723633,-0.49738526344299316,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2199,1843.927001953125,8226.98828125,6383.0615234375,0.1020277887582779,0.0,-0.005157576873898506,0.0,0.0,-0.5144935846328735,-0.5110650658607483,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2249,1866.36181640625,8350.8671875,6484.505859375,0.10367095470428467,0.0,-0.005273391027003527,0.0,0.0,-0.5103577971458435,-0.5059130787849426,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2299,1830.1165771484375,8303.1728515625,6473.05615234375,0.1036001443862915,0.0,-0.005388943944126368,0.0,0.0,-0.4950244128704071,-0.48574063181877136,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2349,1849.929931640625,8285.1083984375,6435.17822265625,0.10312826931476593,0.0,-0.005504470784217119,0.0,0.0,-0.514319896697998,-0.5130150318145752,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2399,1865.49169921875,8221.47265625,6355.98046875,0.10202959179878235,0.0,-0.005620044190436602,0.0,0.0,-0.5042459964752197,-0.4995766878128052,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2447,,,,,,,,,,,5,1839.23095703125,8313.8671875,6474.6337890625,0.10351114720106125,0.0,-0.005261670332401991,0.0,0.0,-0.5086877942085266,-0.506689190864563,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2449,1840.991943359375,8153.9697265625,6312.9775390625,0.10148032009601593,0.0,-0.005735654849559069,0.0,0.0,-0.5062786340713501,-0.4995231330394745,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2499,1870.8048095703125,8237.125,6366.3203125,0.10239259898662567,0.0,-0.005851137451827526,0.0,0.0,-0.5076243281364441,-0.5053580403327942,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
