lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
,,1049,482.4234924316406,2532.7353515625,2050.311767578125,0.12732568383216858,0.0,-0.0025037843734025955,0.0,0.0,-0.47944697737693787,-0.491486519575119,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1099,462.956298828125,2612.833984375,2149.877685546875,0.13348934054374695,0.0,-0.00262163276784122,0.0,0.0,-0.4862441122531891,-0.4861200451850891,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1149,473.52215576171875,2474.410400390625,2000.88818359375,0.12452216446399689,0.0,-0.0027391999028623104,0.0,0.0,-0.505203366279602,-0.507715106010437,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1199,461.9700622558594,2372.1982421875,1910.228271484375,0.11910700798034668,0.0,-0.00285665737465024,0.0,0.0,-0.49038347601890564,-0.4912932813167572,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1223,,,,,,,,,,,2,475.4253845214844,2564.021484375,2088.596923828125,0.12959802150726318,0.0,-0.002435064408928156,0.0,0.0,-0.4894234538078308,-0.4929165244102478,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1249,465.84722900390625,2604.84912109375,2139.001953125,0.13313189148902893,0.0,-0.0029741115868091583,0.0,0.0,-0.4938613772392273,-0.4908655285835266,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1299,487.77252197265625,2458.00537109375,1970.2327880859375,0.1229640543460846,0.0,-0.003091293154284358,0.0,0.0,-0.4780464470386505,-0.47533702850341797,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1349,473.7821044921875,2330.633544921875,1856.8514404296875,0.11616842448711395,0.0,-0.0032085266429930925,0.0,0.0,-0.4774753749370575,-0.4745848774909973,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
