epoch,lr-Adam,lr-Adam-1,step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/loss/vq_epoch,train/loss/vq_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/loss/vq,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/loss/vq,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
0,,,1249,,0.7721626162528992,,0.7844020128250122,,0.0,,0.0,,3796.883056640625,,0.23411473631858826,,3798.24169921875,,1.3587355613708496,,0.0,,-0.003097736742347479,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1299,,0.849323034286499,,0.8655756711959839,,0.0,,0.0,,3685.37353515625,,0.2274211347103119,,3686.799560546875,,1.4260528087615967,,0.0,,-0.003216451033949852,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1349,,0.8744191527366638,,0.8647401332855225,,0.0,,0.0,,3332.9130859375,,0.20607209205627441,,3334.311767578125,,1.3988020420074463,,0.0,,-0.0033357818610966206,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1399,,0.8345209360122681,,0.8481284976005554,,0.0,,0.0,,3245.153076171875,,0.20082944631576538,,3246.605224609375,,1.4522089958190918,,0.0,,-0.003456367179751396,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1449,,0.8200084567070007,,0.7867567539215088,,0.0,,0.0,,3151.98095703125,,0.19525936245918274,,3153.518310546875,,1.5373084545135498,,0.0,,-0.0035775001160800457,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1499,,0.8647001385688782,,0.8742837309837341,,0.0,,0.0,,3331.2236328125,,0.20625588297843933,,3332.804931640625,,1.5813647508621216,,0.0,,-0.003698334563523531,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1549,,0.8849756717681885,,0.8811337947845459,,0.0,,0.0,,3310.512451171875,,0.2050911784172058,,3312.167236328125,,1.6548341512680054,,0.0,,-0.0038180691190063953,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1599,,0.8746200799942017,,0.8744024038314819,,0.0,,0.0,,3226.9873046875,,0.20010825991630554,,3228.692138671875,,1.7048778533935547,,0.0,,-0.0039382330141961575,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1649,,0.8798326849937439,,0.8733360767364502,,0.0,,0.0,,3296.3740234375,,0.20442143082618713,,3298.078125,,1.7040021419525146,,0.0,,-0.004057950805872679,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1699,,0.7897545695304871,,0.7934868931770325,,0.0,,0.0,,3420.05810546875,,0.21203365921974182,,3421.983642578125,,1.9254416227340698,,0.0,,-0.004177499562501907,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1749,,0.9096575379371643,,0.8833088874816895,,0.0,,0.0,,3482.2412109375,,0.215906023979187,,3484.128173828125,,1.8869954347610474,,0.0,,-0.004296498838812113,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1799,,0.8275575041770935,,0.8414827585220337,,0.0,,0.0,,3202.27490234375,,0.19898667931556702,,3204.158203125,,1.8832993507385254,,0.0,,-0.004415997304022312,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1849,,0.8227860331535339,,0.8468837738037109,,0.0,,0.0,,3994.05615234375,,0.24718894064426422,,3996.01220703125,,1.95609450340271,,0.0,,-0.004534527659416199,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1899,,0.8712128400802612,,0.8873314261436462,,0.0,,0.0,,3618.50634765625,,0.2244616448879242,,3620.4873046875,,1.9810718297958374,,0.0,,-0.00465222354978323,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
